date,asset,open,high,low,close,volume,turnover,trailing-high,trailing-ago,prct-decline,trailing-max-decline,idx,trailing-high-idx,date-instant,trailing-high-date,setup,signal,initial,px0,px5,px10,px20,px40,category,pl
2018-11-30 00:00:00+00:00,CMI,148.26,151.56,148.26,151.06,725544,1.0960067664E8,155.0,299,-0.04348387096774198,-0.19516129032258067,149,0,2018-11-30T00:00Z,2018-05-01T00:00Z,true,true,true,152.47,136.29,131.45,133.38,147.11,Stock,-0.019999999999999907
2018-06-26 00:00:00+00:00,CMS,46.51,47.04,46.46,46.51,1060134,4.9306832339999996E7,47.21,299,-0.015886464732048244,-0.0991315399279814,39,0,2018-06-26T00:00Z,2018-05-01T00:00Z,true,true,true,47.12,47.96,47.89,47.88,49.11,Stock,0.04223259762308995
2019-09-11 00:00:00+00:00,CNA,48.21,48.63,47.9,48.55,64898,3150797.9,48.99,282,-0.022249438660951304,-0.1816568047337278,343,61,2019-09-11T00:00Z,2018-07-27T00:00Z,true,true,true,48.95,49.57,49.11,47.23,45.12,Stock,-0.016796731358529104
2018-08-01 00:00:00+00:00,CNO,20.35,20.59,20.2,20.32,255420,5190134.4,21.38,299,-0.0551917680074836,-0.12722170252572496,64,0,2018-08-01T00:00Z,2018-05-01T00:00Z,true,true,true,22.26,21.77,21.28,21.82,21.29,Stock,-0.020000000000000018
2025-12-12 00:00:00+00:00,CNO,41.4,41.51,41.06,41.24,368362,1.519124888E7,43.2,181,-0.049537037037037046,-0.19710648148148147,1916,1735,2025-12-12T00:00Z,2025-03-26T00:00Z,true,true,true,42.87,43.55,42.84,42.2,41.24,Stock,-0.035316071845112984
2018-06-19 00:00:00+00:00,COG,23.43,24.05,23.42,23.95,1499517,3.591343215E7,24.17,299,-0.03103020273065782,-0.10136532892014904,34,0,2018-06-19T00:00Z,2018-05-01T00:00Z,true,true,true,24.16,23.51,23.39,23.94,22.98,,-0.020000000000000018
2024-02-06 00:00:00+00:00,CP,83.16,84.5,83.11,84.28,717880,6.05029264E7,85.38,132,-0.026587022721948905,-0.19137971421878652,1451,1319,2024-02-06T00:00Z,2023-07-28T00:00Z,true,true,true,85.35,82.95,85.47,87.62,86.95,Stock,-0.02000000000000013
2018-06-14 00:00:00+00:00,CTLT,40.34,41.59,40.24,41.54,257371,1.069119134E7,41.67,299,-0.03431725461963042,-0.08207343412527002,31,0,2018-06-14T00:00Z,2018-05-01T00:00Z,true,true,true,41.47,41.82,41.26,43.39,40.12,,0.025372558476006724
2019-05-13 00:00:00+00:00,CUBE,32.57,33.14,32.57,33.04,480807,1.588586328E7,33.18,212,-0.018384569017480423,-0.1805304400241109,259,47,2019-05-13T00:00Z,2018-07-09T00:00Z,true,true,true,32.87,33.12,33.61,34.07,35.03,Stock,0.06571341648919993
2018-06-14 00:00:00+00:00,CVS,68.7,69.48,68.1,69.12,3008390,2.079399168E8,69.75,299,-0.023655913978494758,-0.13505376344086029,31,0,2018-06-14T00:00Z,2018-05-01T00:00Z,true,true,true,70.09,71.08,65.78,68.63,69.05,Stock,-0.006157797117991248
